utc,conversation_idx,session,claims,documents,sources,seconds
2026-09-05T07:27:41.417870+00:00,3,28,230,11,28,127.42
2026-09-05T07:29:01.068267+00:00,3,29,235,11,29,78.72
2026-09-05T07:29:04.361114+00:00,4,1,9,4,1,68.74
2026-09-05T07:30:31.941310+00:00,4,2,13,4,2,86.59
2026-09-05T07:32:07.458027+00:00,4,3,26,4,3,94.51
2026-09-05T07:33:20.639135+00:00,4,4,34,4,4,72.23
2026-09-05T07:34:25.662539+00:00,4,5,39,4,5,64.07
2026-09-05T07:35:46.806329+00:00,4,6,50,4,6,80.16
2026-09-05T07:36:42.448509+00:00,4,7,53,4,7,54.6
2026-09-05T07:38:53.139171+00:00,4,8,62,4,8,129.7
2026-09-05T07:40:52.507571+00:00,4,9,70,4,9,118.41
2026-09-05T07:42:08.411928+00:00,4,10,77,4,10,74.79
2026-09-05T09:44:59.395152+00:00,4,11,87,4,11,98.71
2026-09-05T09:46:31.805382+00:00,4,12,95,4,12,92.41
2026-09-05T09:48:19.599239+00:00,4,13,103,4,13,107.79
2026-09-05T09:49:49.768516+00:00,4,14,108,4,14,90.16
2026-09-05T09:51:41.830237+00:00,4,15,120,4,15,112.06
2026-09-05T09:53:43.161919+00:00,4,16,127,4,16,121.33
2026-09-05T09:54:57.189531+00:00,4,17,131,4,17,74.02
2026-09-05T09:56:18.967853+00:00,4,18,134,4,18,81.77
2026-09-05T09:57:30.841972+00:00,4,19,139,4,19,71.87
2026-09-05T09:58:57.140377+00:00,4,20,144,4,20,86.29
2026-09-05T10:00:41.109339+00:00,4,21,150,4,21,103.96
2026-09-05T10:02:07.802666+00:00,4,22,154,4,22,86.69
2026-09-05T10:03:23.141899+00:00,4,23,159,4,23,75.33
2026-09-05T10:04:46.449761+00:00,4,24,162,4,24,83.3
2026-09-05T10:06:03.295431+00:00,4,25,165,4,25,76.84
2026-09-05T10:07:34.327899+00:00,4,26,174,4,26,91.03
2026-09-05T10:09:36.246740+00:00,4,27,187,4,27,121.91
2026-09-05T10:11:01.449949+00:00,4,28,193,4,28,85.2
2026-09-05T10:12:23.935424+00:00,4,29,196,4,29,82.48
2026-09-05T07:30:48.157965+00:00,5,1,14,4,1,98.74
2026-09-05T07:31:55.321212+00:00,5,2,22,5,2,66.12
2026-09-05T07:33:38.492630+00:00,5,3,40,5,3,102.19
2026-09-05T07:34:59.820633+00:00,5,4,53,5,4,80.36
2026-09-05T07:36:41.343193+00:00,5,5,58,5,5,100.46
2026-09-05T07:38:12.055358+00:00,5,6,63,5,6,89.77
2026-09-05T07:39:13.298114+00:00,5,7,71,5,7,60.2
2026-09-05T07:40:40.565997+00:00,5,8,82,5,8,86.31
2026-09-05T07:41:54.371204+00:00,5,9,88,5,9,72.82
2026-09-05T09:44:51.036509+00:00,5,10,95,5,10,90.42
2026-09-05T09:46:04.401653+00:00,5,11,100,5,11,73.36
2026-09-05T09:47:47.600370+00:00,5,12,116,6,12,103.19
2026-09-05T09:49:15.538654+00:00,5,13,121,7,13,87.93
2026-09-05T09:51:09.656221+00:00,5,14,131,7,14,114.11
2026-09-05T09:52:29.742465+00:00,5,15,135,7,15,80.08
2026-09-05T09:53:39.637184+00:00,5,16,145,7,16,69.89
2026-09-05T09:55:03.686881+00:00,5,17,154,7,17,84.05
2026-09-05T09:56:27.825387+00:00,5,18,164,7,18,84.13
2026-09-05T09:57:48.048941+00:00,5,19,170,7,19,80.22
2026-09-05T09:59:36.106782+00:00,5,20,184,7,20,108.05
2026-09-05T10:00:26.296993+00:00,5,21,187,7,21,50.19
2026-09-05T10:01:18.684488+00:00,5,22,190,7,22,52.38
2026-09-05T10:03:41.023862+00:00,5,23,200,7,23,142.33
2026-09-05T10:05:22.211739+00:00,5,24,212,8,24,101.18
2026-09-05T10:06:45.281599+00:00,5,25,218,8,25,83.07
2026-09-05T10:08:10.405456+00:00,5,26,225,8,26,85.12
2026-09-05T10:09:35.467007+00:00,5,27,230,8,27,85.06
2026-09-05T10:11:50.523018+00:00,5,28,245,9,28,135.05
2026-09-05T10:14:06.301095+00:00,6,1,26,4,1,128.78
2026-09-05T10:15:05.475924+00:00,6,2,30,4,2,59.17
2026-09-05T10:16:44.520215+00:00,6,3,45,4,3,99.05
2026-09-05T10:18:23.781754+00:00,6,4,49,4,4,99.26
2026-09-05T10:19:58.819486+00:00,6,5,57,5,5,95.03
2026-09-05T10:22:08.739544+00:00,6,6,69,6,6,129.91
2026-09-05T10:23:17.977796+00:00,6,7,74,6,7,69.23
2026-09-05T10:25:03.298349+00:00,6,8,81,6,8,105.32
2026-09-05T10:26:32.678791+00:00,6,9,88,6,9,89.38
2026-09-05T10:27:38.011835+00:00,6,10,91,6,10,65.33
2026-09-05T10:28:59.038557+00:00,6,11,97,7,11,81.02
2026-09-05T10:30:06.057927+00:00,6,12,100,7,12,67.02
2026-09-05T10:31:29.226420+00:00,6,13,106,7,13,83.17
2026-09-05T10:32:52.376095+00:00,6,14,114,8,14,83.15
2026-09-05T10:34:21.531453+00:00,6,15,120,8,15,89.15
2026-09-05T10:35:26.831136+00:00,6,16,125,8,16,65.3
2026-09-05T10:38:42.699230+00:00,6,17,131,8,17,195.86
2026-09-05T10:40:11.854910+00:00,6,18,134,8,18,89.15
2026-09-05T10:41:29.142909+00:00,6,19,140,8,19,77.28
2026-09-05T10:42:31.899881+00:00,6,20,148,8,20,62.75
2026-09-05T10:44:20.517359+00:00,6,21,156,9,21,108.61
2026-09-05T10:46:17.262626+00:00,6,22,170,10,22,116.74
2026-09-05T10:48:13.985618+00:00,6,23,184,11,23,116.74
2026-09-05T10:49:52.971387+00:00,6,24,191,11,24,98.98
2026-09-05T10:51:43.643253+00:00,6,25,200,12,25,110.67
2026-09-05T10:53:24.021853+00:00,6,26,205,12,26,100.37
2026-09-05T10:54:46.874462+00:00,6,27,211,12,27,82.85
2026-09-05T10:56:25.431369+00:00,6,28,217,12,28,98.55
2026-09-05T14:27:54.383261+00:00,6,29,220,12,29,82.7
2026-09-05T14:28:52.015051+00:00,6,30,225,12,30,57.63
2026-09-05T14:30:11.428306+00:00,6,31,233,13,31,79.41
2026-09-05T10:14:06.876400+00:00,7,1,35,5,1,95.91
2026-09-05T10:15:50.004619+00:00,7,2,47,5,2,103.13
2026-09-05T10:16:52.953541+00:00,7,3,49,5,3,62.95
2026-09-05T10:18:44.209484+00:00,7,4,61,7,4,111.25
2026-09-05T10:20:11.976608+00:00,7,5,63,7,5,87.76
2026-09-05T10:21:44.444130+00:00,7,6,68,7,6,92.46
2026-09-05T10:23:09.919360+00:00,7,7,74,7,7,85.47
2026-09-05T10:24:47.557195+00:00,7,8,78,7,8,97.63
2026-09-05T10:26:00.594942+00:00,7,9,82,7,9,73.03
2026-09-05T10:27:19.973722+00:00,7,10,92,7,10,79.37
2026-09-05T10:28:31.430407+00:00,7,11,96,7,11,71.45
2026-09-05T10:29:40.661266+00:00,7,12,104,7,12,69.23
2026-09-05T10:30:57.994055+00:00,7,13,110,7,13,77.33
2026-09-05T10:32:33.040416+00:00,7,14,114,7,14,95.05
2026-09-05T10:34:32.791345+00:00,7,15,123,7,15,119.75
2026-09-05T10:36:00.003243+00:00,7,16,131,7,16,87.21
2026-09-05T10:36:49.050393+00:00,7,17,136,7,17,49.04
2026-09-05T10:38:16.193032+00:00,7,18,143,7,18,87.14
2026-09-05T10:39:47.279900+00:00,7,19,150,7,19,91.08
2026-09-05T10:41:34.662511+00:00,7,20,156,7,20,107.38
2026-09-05T10:43:03.254263+00:00,7,21,160,7,21,88.59
2026-09-05T10:45:01.365631+00:00,7,22,165,7,22,118.11
2026-09-05T10:47:03.422597+00:00,7,23,175,7,23,122.05
2026-09-05T10:48:31.771869+00:00,7,24,182,7,24,88.36
2026-09-05T10:50:16.806700+00:00,7,25,191,7,25,105.03
2026-09-05T10:51:51.312298+00:00,7,26,195,7,26,94.5
2026-09-05T10:53:48.117715+00:00,7,27,200,7,27,116.8
2026-09-05T10:55:28.810836+00:00,7,28,208,7,28,100.69
2026-09-05T10:57:13.237893+00:00,7,29,216,7,29,104.42
2026-09-05T14:28:14.185183+00:00,7,30,223,7,30,102.47
2026-09-05T14:29:42.992525+00:00,8,1,8,5,1,81.79
2026-09-05T14:31:02.108797+00:00,8,2,12,5,2,79.11
2026-09-05T14:32:24.350974+00:00,8,3,24,5,3,82.27
2026-09-05T14:33:30.361303+00:00,8,4,35,5,4,66.01
2026-09-05T14:34:52.318417+00:00,8,5,41,5,5,81.95
2026-09-05T14:36:08.514823+00:00,8,6,45,5,6,76.19
2026-09-05T14:38:04.913234+00:00,8,7,52,5,7,116.39
2026-09-05T14:40:14.614569+00:00,8,8,69,6,8,129.7
2026-09-05T14:42:34.839963+00:00,8,9,76,6,9,140.22
2026-09-05T14:44:14.897544+00:00,8,10,81,6,10,100.05
2026-09-05T14:45:53.206612+00:00,8,11,89,6,11,98.3
2026-09-05T14:46:46.758883+00:00,8,12,93,6,12,53.55
2026-09-05T14:48:21.363743+00:00,8,13,99,7,13,94.6
2026-09-05T14:50:14.197792+00:00,8,14,104,7,14,112.83
2026-09-05T14:51:06.687476+00:00,8,15,108,7,15,52.48
2026-09-05T14:52:45.101065+00:00,8,16,118,9,16,98.41
2026-09-05T14:54:11.876687+00:00,8,17,125,9,17,86.76
2026-09-05T14:56:07.627751+00:00,8,18,129,9,18,115.75
2026-09-05T14:57:24.378689+00:00,8,19,132,9,19,76.75
2026-09-05T14:59:09.056158+00:00,8,20,138,9,20,104.67
2026-09-05T15:00:53.957279+00:00,8,21,143,9,21,104.9
2026-09-05T15:02:24.593508+00:00,8,22,148,9,22,90.63
2026-09-05T15:04:13.253295+00:00,8,23,155,10,23,108.65
2026-09-05T15:05:58.105456+00:00,8,24,165,10,24,104.85
2026-09-05T15:07:52.261334+00:00,8,25,171,10,25,114.15
2026-09-05T14:31:44.853564+00:00,9,1,8,3,1,86.39
2026-09-05T14:32:57.254362+00:00,9,2,12,3,2,72.4
2026-09-05T14:34:29.405023+00:00,9,3,22,3,3,92.15
2026-09-05T14:35:53.487600+00:00,9,4,29,3,4,84.08
2026-09-05T14:37:11.578015+00:00,9,5,33,3,5,78.08
2026-09-05T14:38:31.616512+00:00,9,6,37,3,6,80.03
2026-09-05T14:39:47.569252+00:00,9,7,40,3,7,75.95
2026-09-05T14:41:47.580777+00:00,9,8,47,3,8,120.01
2026-09-05T14:43:31.672898+00:00,9,9,55,3,9,104.09
2026-09-05T14:45:50.234112+00:00,9,10,62,3,10,138.56
2026-09-05T14:47:29.427240+00:00,9,11,71,3,11,99.19
2026-09-05T14:48:35.869562+00:00,9,12,75,3,12,66.44
2026-09-05T14:49:52.472999+00:00,9,13,79,3,13,76.6
2026-09-05T14:51:20.923924+00:00,9,14,87,3,14,88.45
2026-09-05T14:53:07.515849+00:00,9,15,102,4,15,106.59
2026-09-05T14:54:25.983852+00:00,9,16,107,4,16,78.46
2026-09-05T14:55:38.553179+00:00,9,17,110,4,17,72.56
2026-09-05T14:57:08.968545+00:00,9,18,113,4,18,90.41
2026-09-05T14:58:17.901238+00:00,9,19,116,4,19,68.93
2026-09-05T15:00:02.857707+00:00,9,20,122,4,20,104.95
2026-09-05T15:01:37.547190+00:00,9,21,127,4,21,94.68
2026-09-05T15:02:39.913125+00:00,9,22,130,4,22,62.36
2026-09-05T15:04:04.713270+00:00,9,23,136,4,23,84.78
2026-09-05T15:05:59.667263+00:00,9,24,143,4,24,114.95
2026-09-05T15:08:34.765377+00:00,9,25,158,4,25,155.09
2026-09-05T15:09:57.863437+00:00,9,26,164,4,26,83.09
2026-09-05T15:11:43.694599+00:00,9,27,171,4,27,105.82
2026-09-05T15:13:42.657565+00:00,9,28,176,4,28,118.95
2026-09-05T15:14:51.568198+00:00,9,29,180,4,29,68.9
2026-09-05T15:17:11.155415+00:00,9,30,184,4,30,139.58
